crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,source_crosswalk_id,canonical_crosswalk_id,is_restored_in_sumo_network,sumo_restored_source,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_has_green,ped_has_red,traci_status,route_smoke_status,final_verdict,runtime_status,registry_crosswalk_id,sumo_restored_level,phase6_ready_confirmed
LINK_106866,127.0092193,37.55671971,__,ì²µ¬,4,104,50,0.247846802,0,34.499,1,0,0,0,0,0,0,8.62475,14.80155247,LINK_106866,106866,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10008,127.0164847,37.56525141,__,ì²µ¬,3,104,50,0.247846802,0,31.314,1,0,0,0,0,4,0,7.8285,14.7019842,NODE_10008,10008,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10007,127.0164238,37.56519794,__,ì²µ¬,3,104,50,0.247846802,0,31.314,1,0,0,0,0,4,0,7.8285,14.7019842,NODE_10007,10007,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_171099,126.9876452,37.56789043,¥ê_,ëª__,4,104,50,0.235762762,0,30.434,1,4,23,71,0.782608696,0,0,7.6085,14.69799847,LINK_171099,171099,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_130571,126.9799866,37.55965884,__1ê°,__,2,104,50,0.294659686,0,9.893,1,0,0,0,0,0,0,2.47325,14.64280074,LINK_130571,130571,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10383,126.9764867,37.55501003,¨ëë¬¸ë_5ê°,__,2,104,50,0.294659686,0,20.876,1,3,4,9,0.75,2,0,5.219,14.62633179,NODE_10383,10383,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[5],TRUE,TRUE,,,,,NODE_10383,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_73919,126.9763335,37.55323298,¨ëë¬¸ë_5ê°,__,2,104,50,0.294659686,0,20.876,1,10,13,28,0.153846154,2,0,5.219,14.62633179,NODE_73919,73919,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_73917,126.9763248,37.5534927,¨ëë¬¸ë_5ê°,__,2,104,50,0.294659686,0,20.876,1,6,13,26,0.230769231,2,0,5.219,14.62633179,NODE_73917,73917,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[11],TRUE,TRUE,,,,,NODE_73917,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_10382,126.9764245,37.55349426,¨ëë¬¸ë_5ê°,__,2,104,50,0.294659686,0,20.876,1,6,13,24,0.230769231,2,0,5.219,14.62633179,NODE_10382,10382,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[11],TRUE,TRUE,,,,,NODE_10382,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_6210,126.9769664,37.55617727,¨ì°½,__,2,104,50,0.294659686,0,20.876,1,0,0,3,0,2,0,5.219,14.62633179,NODE_6210,6210,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[2],TRUE,TRUE,,,,,NODE_6210,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
