crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
NODE_8369,127.01163269719551,37.55385956814979,신당동,청구동,4.0,104,60.0,0.2478468022723108,0,41.752,1,0,0,0,0.0,4.0,0.0,10.437999999999995
NODE_9628,126.96296755148786,37.5520955451973,만리동2가,중림동,2.0,104,50.0,0.1901991313611407,0,20.876,1,3,22,48,0.45454545454545453,3.0,0.0,5.218999999999998
NODE_9632,126.97156218080158,37.55981146010439,순화동,소공동,2.0,104,40.0,0.09772727272727273,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_9633,126.97121879422104,37.55940398899696,순화동,소공동,4.0,104,40.0,0.09772727272727273,0,41.752,1,0,0,0,0.0,4.0,0.0,10.437999999999995
NODE_9634,126.96707774392719,37.56587719063068,충정로1가,소공동,1.0,103,50.0,0.09772727272727273,0,10.438,1,7,70,121,0.5142857142857142,4.0,0.0,2.609499999999999
NODE_9636,126.97004701881298,37.56738612229849,정동,소공동,1.0,104,30.0,0.09772727272727273,0,10.438,0,0,0,30,0.0,2.0,0.0,2.609499999999999
NODE_9637,126.96986577203516,37.56765838201035,정동,소공동,1.0,104,30.0,0.09772727272727273,0,10.438,0,0,6,35,1.0,2.0,0.0,2.609499999999999
NODE_9639,126.9715740505189,37.56640243216203,정동,소공동,1.0,104,30.0,0.09772727272727273,0,10.438,0,0,0,0,0.0,,0.0,2.609499999999999
NODE_9650,126.97593370014896,37.558448437562156,남창동,회현동,1.0,104,50.0,0.29465968586387437,0,10.438,1,0,0,0,0.0,2.0,0.0,2.609499999999999
NODE_15436,127.00974565147868,37.565596477136836,을지로7가,광희동,2.0,104,30.0,0.18015591778880227,0,20.876,1,0,0,0,0.0,4.0,0.0,5.218999999999998
NODE_14914,126.96780689201877,37.5550583276416,만리동1가,중림동,2.0,104,50.0,0.1901991313611407,0,20.876,1,3,6,35,0.3333333333333333,2.0,0.0,5.218999999999998
NODE_14921,126.96850883651592,37.55717884338945,만리동1가,중림동,1.0,104,50.0,0.1901991313611407,0,10.438,1,0,1,3,0.0,3.0,0.0,2.609499999999999
NODE_14937,126.96918741878173,37.5556052746049,봉래동2가,회현동,3.0,104,50.0,0.29465968586387437,0,31.314,1,1,5,26,0.4,2.0,0.0,7.828499999999998
