crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
159706,127.01593707869618,37.572916405717024,숭인동,숭인2동,3.0,103,50.0,0.16723489815543316,0,31.701,1,35,70,206,0.5857142857142857,4.0,0.0,7.925249999999998
215411,126.99169950844107,37.57252268506579,묘동,종로1·2·3·4가동,1.0,104,30.0,0.2035585258750063,0,10.567,1,27,52,118,0.5,4.0,0.0,2.64175
157337,126.96963831713006,37.568450201823055,신문로2가,사직동,1.0,104,30.0,0.21709158551263816,0,5.817,1,7,23,43,0.5217391304347826,4.0,0.0,1.45425
14344,126.97281988223513,37.58388906776697,궁정동,청운효자동,1.0,104,40.0,0.20798109262794293,0,10.567,1,3,6,15,0.0,4.0,0.0,2.64175
157338,126.97700175533373,37.572607022503256,세종로,청운효자동,3.0,103,50.0,0.20798109262794293,2,31.701,1,33,50,89,0.48,3.0,0.0,7.925249999999998
193403,126.99931653416883,37.5709035637592,종로4가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,15,40,90,0.6,2.0,0.0,5.2835
157343,126.97740388788367,37.572607100158315,세종로,청운효자동,3.0,103,50.0,0.20798109262794293,0,31.701,1,18,44,91,0.5454545454545454,4.0,0.0,7.925249999999998
145484,127.00547655323358,37.5734532213629,충신동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,21.134,0,7,14,75,0.42857142857142855,3.0,0.0,5.2835
145487,127.00402493685775,37.57339871361191,효제동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,21.134,1,5,12,54,0.4166666666666667,2.0,0.0,5.2835
145489,127.0060697357557,37.573676201903574,충신동,종로5·6가동,1.0,104,30.0,0.2035585258750063,0,10.567,0,10,24,68,0.4583333333333333,3.0,0.0,2.64175
145492,127.00641552539477,37.573960876647256,충신동,종로5·6가동,1.0,104,30.0,0.2035585258750063,0,10.567,1,10,23,64,0.4782608695652174,3.0,0.0,2.64175
145501,127.00617106742101,37.57351487059416,종로6가,종로5·6가동,1.0,104,30.0,0.2035585258750063,1,10.567,0,9,24,76,0.4583333333333333,3.0,0.0,2.64175
152915,127.00924039977609,37.571586341090836,종로6가,종로5·6가동,3.0,103,50.0,0.2035585258750063,1,31.701,1,18,49,147,0.40816326530612246,4.0,0.0,7.925249999999998
152914,127.00894716448916,37.5718998919711,종로6가,종로5·6가동,3.0,104,50.0,0.2035585258750063,0,31.701,0,11,36,150,0.3333333333333333,,0.0,7.925249999999998
146298,126.96912023057207,37.588016251732135,청운동,청운효자동,2.0,104,30.0,0.20798109262794293,0,21.134,0,2,4,8,0.25,2.0,0.0,5.2835
152910,127.0089529546833,37.57223172802777,종로6가,종로5·6가동,,,,0.2035585258750063,0,,0,3,27,142,0.2962962962962963,,,
152909,127.00875744315964,37.57227751324265,종로6가,종로5·6가동,2.0,104,50.0,0.2035585258750063,4,18.729,0,1,24,138,0.2916666666666667,2.0,0.0,4.68225
152908,127.00861658385588,37.572520107515054,종로6가,종로5·6가동,,,,0.2035585258750063,0,,0,0,17,118,0.35294117647058826,2.0,,
152907,126.97422094564926,37.57716110942243,세종로,청운효자동,2.0,104,40.0,0.20798109262794293,0,21.134,1,10,12,53,0.3333333333333333,2.0,0.0,5.2835
152906,126.97401988569794,37.57713282493957,통의동,사직동,2.0,104,40.0,0.21709158551263816,0,21.134,1,10,12,63,0.3333333333333333,2.0,0.0,5.2835
152896,126.957201162895,37.60831319123151,구기동,평창동,3.0,104,50.0,0.23439490445859873,2,31.701,1,5,15,29,0.4,2.0,0.0,7.925249999999998
152895,126.95658273094966,37.60862360812185,구기동,평창동,1.0,104,30.0,0.23439490445859873,0,10.567,1,11,15,25,0.3333333333333333,3.0,0.0,2.64175
14346,126.97150925738232,37.57963446271909,창성동,청운효자동,3.0,104,50.0,0.20798109262794293,0,31.701,1,5,8,44,0.5,4.0,0.0,7.925249999999998
147328,126.97020430272502,37.583785182667036,신교동,청운효자동,1.0,104,30.0,0.20798109262794293,0,10.567,1,9,17,33,0.4117647058823529,4.0,0.0,2.64175
89717,127.02322255784301,37.572118852282266,숭인동,숭인2동,2.0,104,30.0,0.16723489815543316,1,27.021,1,12,50,119,0.32,4.0,0.0,6.755249999999997
147329,126.97023390909636,37.58369811565258,신교동,청운효자동,3.0,104,30.0,0.20798109262794293,0,31.701,1,9,17,33,0.4117647058823529,4.0,0.0,7.925249999999998
145355,127.00548848902072,37.57362878151817,충신동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,20.799,0,7,16,73,0.4375,3.0,0.0,5.199749999999998
153207,126.97216038275491,37.576080445877714,내자동,사직동,3.0,103,50.0,0.21709158551263816,0,31.701,1,19,41,86,0.7073170731707317,4.0,0.0,7.925249999999998
145669,127.00665697806694,37.57409846490442,충신동,종로5·6가동,3.0,104,50.0,0.2035585258750063,0,31.701,1,11,20,60,0.4,2.0,0.0,7.925249999999998
153199,126.97441942963728,37.5760762502756,세종로,청운효자동,2.0,104,40.0,0.20798109262794293,0,21.134,1,2,13,79,0.46153846153846156,4.0,0.0,5.2835
147333,126.97019539368516,37.58387931499362,신교동,청운효자동,1.0,104,30.0,0.20798109262794293,0,10.567,1,9,17,34,0.4117647058823529,4.0,0.0,2.64175
153189,127.00865665789411,37.57096848281522,종로6가,종로5·6가동,1.0,103,50.0,0.2035585258750063,1,10.567,1,20,48,159,0.25,4.0,0.0,2.64175
153187,127.00869407778798,37.57133235600347,종로6가,종로5·6가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,27,50,170,0.28,4.0,0.0,5.2835
153186,127.00870271221665,37.57140787678555,종로6가,종로5·6가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,21,46,172,0.30434782608695654,4.0,0.0,5.2835
89743,126.98125453956862,37.56918710828908,서린동,종로1·2·3·4가동,2.0,104,30.0,0.2035585258750063,0,21.134,0,3,10,110,0.7,,0.0,5.2835
