source_crosswalk_id,canonical_crosswalk_id,registry_crosswalk_id,id_mapping_method,id_mapping_confidence,crossing_edge,tls_id,from_edge,to_edge,match_distance_m,registry_status,implementation_status,runnable_for_signal_extension,crossing_lon,crossing_lat,original_csv_lon,original_csv_lat
NODE_8371,8371,8371,exact_strip_NODE,high,:12857535999_c0,12857535999,1389001689#0,218910324#10,654.5020353958805,patched_unsignalized,ready_for_simulation,True,127.00670566185693,37.547788054739314,127.0094796,37.55327847
NODE_10266,10266,10266,exact_strip_NODE,high,:3846533327_c2,3846533327,420317538#1,381452140#1,199.56624330478436,patched_unsignalized,ready_for_simulation,True,127.01227232844946,37.55923713983198,127.0119842,37.55744076
NODE_8734,8734,8734,exact_strip_NODE,high,:3846533327_c0,3846533327,-381452140#1,-381452140#0,486.1128137764352,patched_unsignalized,ready_for_simulation,True,127.01222898274492,37.55939853872191,127.0152665,37.56305786
NODE_8725,8725,8725,exact_strip_NODE,high,:3846533327_c1,3846533327,-381452099,420317538#2,175.0575577365461,patched_unsignalized,ready_for_simulation,True,127.01235068584036,37.55930460884475,127.0137539,37.56045599
NODE_126002,126002,126002,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,330.44192114636684,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0113614,37.55633236
NODE_8469,8469,8469,exact_strip_NODE,high,:12857535999_c0,12857535999,1389001689#0,218910324#10,650.7510005558754,patched_unsignalized,ready_for_simulation,True,127.00670566185693,37.547788054739314,127.0096822,37.55317318
NODE_8459,8459,8459,exact_strip_NODE,high,:12857535999_c0,12857535999,1389001689#0,218910324#10,224.7663416118139,patched_unsignalized,ready_for_simulation,True,127.00670566185693,37.547788054739314,127.0076381,37.54969476
NODE_125994,125994,125994,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,480.65567930744874,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0109387,37.55502107
NODE_10419,10419,10419,exact_strip_NODE,high,:11125407497_c0,11125407497,896413219#1,1199502738#3,35.234256254097,A,ready_for_simulation,True,127.02385076174616,37.56517621313539,,
NODE_8834,8834,8834,exact_strip_NODE,high,:3846533327_c2,3846533327,420317538#1,381452140#1,209.8369223413552,patched_unsignalized,ready_for_simulation,True,127.01227232844946,37.55923713983198,127.0122412,37.55733688
NODE_8721,8721,8721,exact_strip_NODE,high,:3846533327_c1,3846533327,-381452099,420317538#2,300.0413566917575,patched_unsignalized,ready_for_simulation,True,127.01235068584036,37.55930460884475,127.0145964,37.56136901
NODE_8733,8733,8733,exact_strip_NODE,high,:3846533327_c1,3846533327,-381452099,420317538#2,489.94108036066893,patched_unsignalized,ready_for_simulation,True,127.01235068584036,37.55930460884475,127.0155195,37.56296171
NODE_8429,8429,8429,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,476.0598284706263,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0106656,37.55512179
NODE_10303,10303,10303,exact_strip_NODE,high,:12857535999_c0,12857535999,1389001689#0,218910324#10,219.90863466773368,patched_unsignalized,ready_for_simulation,True,127.00670566185693,37.547788054739314,127.0073825,37.54971848
NODE_8430,8430,8430,exact_strip_NODE,high,:3846533327_c3,3846533327,381452140#0,381452099,463.07093487577936,patched_unsignalized,ready_for_simulation,True,127.0121594963602,37.55924434172914,127.0106599,37.55524537
NODE_8717,8717,8717,exact_strip_NODE,high,:3846533327_c1,3846533327,-381452099,420317538#2,182.82292354239416,patched_unsignalized,ready_for_simulation,True,127.01235068584036,37.55930460884475,127.0139925,37.5603484
NODE_8902,8902,8902,exact_strip_NODE,high,:3846533327_c1,3846533327,-381452099,420317538#2,152.56511790689703,patched_unsignalized,ready_for_simulation,True,127.01235068584036,37.55930460884475,127.0138199,37.56007151
NODE_8722,8722,8722,exact_strip_NODE,high,:3846533327_c1,3846533327,-381452099,420317538#2,294.0777460562619,patched_unsignalized,ready_for_simulation,True,127.01235068584036,37.55930460884475,127.0143261,37.56147203
LINK_254978,LINK_254978,,unmatched,none,,,,,,,,,,,,
LINK_3009,LINK_3009,,unmatched,none,,,,,,,,,,,,
NODE_8113,8113,8113,exact_strip_NODE,high,:8209566040_c0,8209566040,1283637490#2,770890589#3,375.1204296686796,patched_unsignalized,ready_for_simulation,True,127.00910465279112,37.56807545875095,127.0105477,37.56487323
NODE_8082,8082,8082,exact_strip_NODE,high,:8209566040_c0,8209566040,1283637490#2,770890589#3,374.8984969073558,patched_unsignalized,ready_for_simulation,True,127.00910465279112,37.56807545875095,127.0107374,37.56493272
LINK_182621,LINK_182621,,unmatched,none,,,,,,,,,,,,
LINK_92843,LINK_92843,,unmatched,none,,,,,,,,,,,,
LINK_262891,LINK_262891,,unmatched,none,,,,,,,,,,,,
LINK_42623,LINK_42623,,unmatched,none,,,,,,,,,,,,
LINK_106866,LINK_106866,,unmatched,none,,,,,,,,,,,,
LINK_259721,LINK_259721,,unmatched,none,,,,,,,,,,,,
LINK_63043,LINK_63043,,unmatched,none,,,,,,,,,,,,
NODE_5938,5938,5938,exact_strip_NODE,high,:5194567167_c0,joinedS_5194567167_5851251266,1230789306#3,1084408283#1,7.36587008634872,A,ready_for_simulation,True,126.97711385933532,37.566875791220326,,
LINK_120139,LINK_120139,,unmatched,none,,,,,,,,,,,,
NODE_9699,9699,9699,exact_strip_NODE,high,:2374692796_c0,2374692796,184083187#3,184083187#4,181.59577373940684,patched_unsignalized,ready_for_simulation,True,126.98841480445546,37.566301312605944,126.9878163,37.56787443
NODE_23050,23050,23050,exact_strip_NODE,high,:2374692796_c0,2374692796,184083187#3,184083187#4,104.66137114088518,patched_unsignalized,ready_for_simulation,True,126.98841480445546,37.566301312605944,126.9896091,37.56610331
NODE_10331,10331,10331,exact_strip_NODE,high,:11203083983_c0,11203083983,1209137355#1,198564925#6,156.79033538487965,represented_by_patched_crossing,ready_for_simulation,True,126.987345162238,37.566070884559224,126.985574,37.56622134
NODE_23068,23068,23068,exact_strip_NODE,high,:2374692796_c0,2374692796,184083187#3,184083187#4,99.3967019004319,recovered,auto_recovered_distance_rematch,True,126.98837859283408,37.56630065029044,,
