crosswalk_id,sumo_crosswalk_alive_status,is_alive_in_sumo_network,phase6_ready_confirmed,sumo_alive_source,in_ready_candidates,in_red_only_phase_fix,in_unsignalized_crosswalks,in_tls_creation_candidates,in_geometry_reject,in_manual_review
LINK_133399,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_159011,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5967,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5969,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5927,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5965,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5968,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5964,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_9636,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5660,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5661,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5694,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5658,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_9637,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_119573,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_119055,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5762,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5705,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5765,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_173857,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_10353,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10358,RED_ONLY_PHASE_FIX_NEEDED,True,False,red_only_phase_fix_batch01_run/red_only_phase_fix_results.csv|red_only_phase_fix_batch02_run/red_only_phase_fix_results.csv|red_only_phase_fix_35_run/red_only_phase_fix_results.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,True,False,False,False,False
NODE_9639,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_15219,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_8028,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_8029,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_8030,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_8031,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_14423,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_23040,PHASE6_READY_CONFIRMED,True,True,phase6_ready_candidates.csv|phase6_ready_candidates_traci_confirmed.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,False,False,False,False,False
NODE_57739,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5844,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5845,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
