crosswalk_id,is_restored_in_sumo_network,sumo_restored_level,phase6_ready_confirmed,sumo_restored_source,in_final_237,in_integrity_237
LINK_161197,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_188293,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_118905,False,NOT_IN_RESTORED_237,False,,False,False
LINK_74874,False,NOT_IN_RESTORED_237,False,,False,False
LINK_164776,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_232849,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6701,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6702,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6704,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6685,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_23053,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6705,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6706,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6703,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6684,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6686,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_9714,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6710,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6682,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_13014,False,NOT_IN_RESTORED_237,False,,False,False
LINK_133416,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_14951,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_15151,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_5590,False,NOT_IN_RESTORED_237,False,,False,False
LINK_91564,False,NOT_IN_RESTORED_237,False,,False,False
LINK_280907,False,NOT_IN_RESTORED_237,False,,False,False
LINK_104438,False,NOT_IN_RESTORED_237,False,,False,False
LINK_250282,False,NOT_IN_RESTORED_237,False,,False,False
LINK_81974,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6829,False,NOT_IN_RESTORED_237,False,,False,False
LINK_256669,False,NOT_IN_RESTORED_237,False,,False,False
LINK_265448,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_261333,False,NOT_IN_RESTORED_237,False,,False,False
NODE_21803,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6026,False,NOT_IN_RESTORED_237,False,,False,False
LINK_114760,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_214528,False,NOT_IN_RESTORED_237,False,,False,False
NODE_214527,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6831,False,NOT_IN_RESTORED_237,False,,False,False
NODE_214526,False,NOT_IN_RESTORED_237,False,,False,False
LINK_89767,False,NOT_IN_RESTORED_237,False,,False,False
LINK_138942,True,RESTORED_PHASE6_READY,True,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_119583,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5760,False,NOT_IN_RESTORED_237,False,,False,False
NODE_119046,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5935,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5932,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9661,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9658,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5782,False,NOT_IN_RESTORED_237,False,,False,False
NODE_23043,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5811,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5934,False,NOT_IN_RESTORED_237,False,,False,False
NODE_119054,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9663,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5975,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6276,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5781,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5963,False,NOT_IN_RESTORED_237,False,,False,False
