횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
5975,126.97875478329479,37.56510631708053,소공동,3.0,104,50.0,0,26875.559786532827,소공동,0.09772727272727273
120933,126.98254457605805,37.568796047817585,남대문로1가,2.0,104,50.0,0,26875.559786532827,명동,0.2357627618766598
5976,126.97936687192168,37.566124821503,을지로1가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6019,126.9796406795671,37.56362121686652,소공동,2.0,104,50.0,0,26875.559786532827,소공동,0.09772727272727273
6022,126.97790419107757,37.56375135090433,북창동,4.0,104,30.0,2,26875.559786532827,소공동,0.09772727272727273
6026,126.97650167258021,37.56233905645109,태평로2가,5.0,104,50.0,0,26875.559786532827,소공동,0.09772727272727273
6068,126.97629902358983,37.55702755883726,남창동,1.0,104,50.0,2,26875.559786532827,회현동,0.29465968586387437
6153,126.97689980757774,37.55779411011401,남창동,3.0,104,50.0,1,26875.559786532827,회현동,0.29465968586387437
6155,126.97993765013776,37.559637248482936,회현동1가,2.0,104,50.0,1,26875.559786532827,회현동,0.29465968586387437
6167,126.97954699636641,37.55401279624135,남대문로5가,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
6199,126.97716940726202,37.55512001106236,남대문로5가,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
6201,126.97721515056689,37.55594160358366,남창동,4.0,104,40.0,0,26875.559786532827,회현동,0.29465968586387437
6210,126.97696642320415,37.55617727429849,남창동,2.0,104,50.0,1,26875.559786532827,회현동,0.29465968586387437
6212,126.97719353022269,37.55614070184521,남창동,4.0,104,40.0,0,26875.559786532827,회현동,0.29465968586387437
6213,126.97675373178103,37.55607653713164,남창동,1.0,104,50.0,4,26875.559786532827,회현동,0.29465968586387437
6511,126.986138528362,37.56082505066927,충무로2가,3.0,104,50.0,3,26875.559786532827,명동,0.2357627618766598
6512,126.98609248886596,37.561053898442076,충무로2가,3.0,104,50.0,1,26875.559786532827,명동,0.2357627618766598
6527,126.98893568146272,37.56107479590544,주자동,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6531,126.9893151520758,37.5611137358977,주자동,1.0,104,50.0,0,26875.559786532827,동화동,0.24080640259345557
6583,126.9875015964982,37.558381050235106,예장동,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
6592,126.98729748778092,37.558403913781085,남산동2가,1.0,104,30.0,1,26875.559786532827,필동,0.18382769695824674
6597,126.98729453923254,37.558838734690795,남산동2가,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
6632,126.98749864454867,37.558843333543656,예장동,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
6886,126.994507968034,37.568341793250404,입정동,2.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
6888,126.99610651628217,37.56847001441486,산림동,2.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
6891,126.99782294400448,37.56878587553209,주교동,4.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6082,126.97697462283799,37.55755611728457,남창동,3.0,104,50.0,0,26875.559786532827,회현동,0.29465968586387437
122275,127.00025386481279,37.566657612697384,을지로5가,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6084,126.97654070912051,37.55703424628606,남창동,2.0,104,50.0,0,26875.559786532827,회현동,0.29465968586387437
125895,127.01132222274043,37.55370168943821,신당동,2.0,104,60.0,5,26875.559786532827,신당동,0.1998197792295562
122781,126.9807695416317,37.56184321742557,남대문로3가,2.0,104,50.0,1,26875.559786532827,명동,0.2357627618766598
125787,127.00755498116764,37.56633468854833,을지로6가,1.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
125786,127.00766709504818,37.566217966300464,을지로6가,1.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6122,126.97831673160553,37.55882879568618,남창동,3.0,104,50.0,3,26875.559786532827,회현동,0.29465968586387437
6123,126.97854962827917,37.55867779506991,남창동,3.0,104,50.0,1,26875.559786532827,회현동,0.29465968586387437
123602,127.00457950632574,37.56944032599578,방산동,2.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
122543,126.98945099316616,37.56610329705298,을지로2가,3.0,104,50.0,1,26875.559786532827,을지로동,0.15585960737656157
6127,126.98003559481428,37.55968043293475,회현동1가,2.0,104,50.0,0,26875.559786532827,회현동,0.29465968586387437
122040,126.99039010819189,37.56288057457944,충무로3가,1.0,104,30.0,1,26875.559786532827,필동,0.18382769695824674
122039,126.99013700905783,37.56370671338498,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
122035,126.99024348975543,37.562873696960985,충무로2가,1.0,104,30.0,0,26875.559786532827,명동,0.2357627618766598
122031,126.99041312988321,37.562704359551816,충무로3가,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
6137,126.97610040165176,37.55854916686609,남창동,2.0,104,50.0,1,26875.559786532827,회현동,0.29465968586387437
7240,126.99646633579928,37.55970614712988,필동3가,1.0,104,30.0,1,26875.559786532827,필동,0.18382769695824674
7246,126.99635421598653,37.55978624235325,필동3가,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
115695,126.9633464328896,37.559085990045865,중림동,1.0,104,50.0,1,26875.559786532827,중림동,0.1901991313611407
98363,126.96924140768652,37.56181789160149,의주로2가,2.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
